eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
274.32,4.25,512,0.0010856144,0.039998375,1.2592877,-0.0014987735,0.032732457,0.7109043300151825,72,9216,1744.01848699525,884736
281.55,4.4,524,0.0016454506,0.07592773,1.250386,-0.0014273542,0.032628898,0.7357644140720367,73,9344,1767.456318166107,897024
285.23,4.67,510,0.0013069591,0.040201824,1.2410975,-0.0018116469,0.033737395,0.7017739713191986,74,9472,1791.5359497144818,909312
275.37,4.56,501,0.0012884887,0.052917477,1.228853,-0.0019643768,0.029621324,0.7361423373222351,75,9600,1816.025850597769,921600
281.0,4.86,520,0.0013192078,0.04191081,1.2100338,-0.0016765917,0.03327069,0.732401967048645,76,9728,1839.6258104257286,933888
288.61,5.23,510,0.0012618119,0.044169106,1.2055671,-0.0014303225,0.033270903,0.736015647649765,77,9856,1863.7014821656048,946176
297.8,5.5,518,0.0011108187,0.039978027,1.2127261,-0.0022143116,0.034305785,0.7153157591819763,78,9984,1887.4133991487324,958464
314.35,6.1,520,0.00081247493,0.030049643,1.2102234,-0.0015266438,0.036220573,0.7248837649822235,79,10112,1911.0135283619165,970752
294.37,5.3,505,0.0013186825,0.06054688,1.1960453,-0.0012852254,0.035583828,0.7568843364715576,80,10240,1935.3164377436042,983040
285.84,4.96,505,0.0013716618,0.06768799,1.1900625,-0.0016608435,0.03177161,0.777346596121788,81,10368,1959.6252884045243,995328
306.39,5.55,521,0.0010573794,0.03649902,1.189317,-0.0019329557,0.03134406,0.7498411238193512,82,10496,1983.1680342890322,1007616
309.6,5.75,521,0.0012018718,0.05332438,1.1979874,-0.0011871717,0.027703775,0.774941936135292,83,10624,2006.7457132525742,1019904
307.51,5.97,504,0.0016685633,0.07918293,1.2108556,-0.001172812,0.03411549,0.778396412730217,84,10752,2031.0808652564883,1032192
306.72,5.98,515,0.0009888618,0.042602543,1.180667,-0.0017809407,0.034699857,0.7775264233350754,85,10880,2054.921407058835,1044480
306.0,6.1,511,0.001135092,0.050191242,1.1796162,-0.0018234152,0.03095098,0.7666349709033966,86,11008,2078.9439674168825,1056768
309.42,5.93,532,0.0011655663,0.046447754,1.1769766,-0.0025722515,0.031048976,0.7858955264091492,87,11136,2102.007682878524,1069056
315.87,6.17,508,0.0011245278,0.047729492,1.1709375,-0.0025670396,0.033910766,0.7805730104446411,88,11264,2126.1814750246704,1081344
319.8,6.39,519,0.0013680415,0.06451416,1.1909686,-0.0030555606,0.03286846,0.8077644109725952,89,11392,2149.852806903422,1093632
309.34,5.85,510,0.0011867806,0.059549965,1.1855994,-0.0012677439,0.042686988,0.7560770213603973,90,11520,2173.9236275851727,1105920
309.62,5.95,514,0.000995521,0.039326984,1.170456,-0.0023885723,0.034532987,0.7637816071510315,91,11648,2197.8007662184536,1118208
331.52,6.79,511,0.0014132318,0.06205241,1.1725671,-0.0019405873,0.033532273,0.7696810513734818,92,11776,2221.8045263774693,1130496
334.76,6.76,522,0.0014595379,0.07393392,1.1647893,-0.001941639,0.0320722,0.7659360617399216,93,11904,2245.3186425194144,1142784
342.88,7.09,522,0.0011562738,0.051025387,1.1679984,-0.0018510494,0.041270547,0.7233840227127075,94,12032,2268.824663531035,1155072
359.96,7.79,514,0.0012018859,0.050740562,1.1556836,-0.0025808762,0.032367945,0.7492341995239258,95,12160,2292.712435543537,1167360
359.59,7.81,518,0.0009315713,0.03548177,1.1571748,-0.0017779007,0.036468286,0.729505866765976,96,12288,2316.4029293879867,1179648
377.6,8.39,532,0.0013829581,0.06955973,1.1379228,-0.0020920062,0.030659743,0.7659699469804764,97,12416,2339.5004209540784,1191936
376.89,8.37,529,0.001092008,0.049540203,1.1466415,-0.0025559654,0.03738569,0.7096952497959137,98,12544,2362.715712055564,1204224
389.11,8.89,523,0.0011507124,0.051574707,1.1293617,-0.0019710422,0.03148882,0.7715063989162445,99,12672,2386.1907300278544,1216512
373.48,8.32,514,0.0011939893,0.054219566,1.1245781,-0.0034010329,0.033374682,0.7294778525829315,100,12800,2410.0814239792526,1228800
375.85,8.23,516,0.0014324237,0.0680542,1.1234808,-0.0028771274,0.03320949,0.7364474534988403,101,12928,2433.883192818612,1241088
366.26,7.85,513,0.0011341377,0.050760906,1.1189816,-0.0019456178,0.042818017,0.7168868184089661,102,13056,2457.8106985241175,1253376
368.04,7.9,530,0.0015148169,0.07342529,1.1201847,-0.0024322816,0.044477765,0.6721606254577637,103,13184,2480.965836700052,1265664
377.93,8.02,533,0.0022521506,0.11924235,1.129035,-0.0012151519,0.040330473,0.7109088003635406,104,13312,2504.0139302425086,1277952
391.81,8.8,528,0.0020269447,0.106852226,1.1150769,-0.00014180716,0.03564941,0.738874077796936,105,13440,2527.2516713552177,1290240
403.31,9.53,522,0.0030691419,0.16469319,1.132334,0.00027205574,0.03361879,0.7324817776679993,106,13568,2550.783528070897,1302528
409.03,10.06,515,0.0013087253,0.062581375,1.1349392,-0.0030007653,0.03537621,0.740880936384201,107,13696,2574.621734172106,1314816
411.53,9.81,521,0.0012481334,0.0565389,1.1388464,-0.0028299533,0.037372872,0.7217947244644165,108,13824,2598.1773919798434,1327104
413.4,9.44,517,0.0013130732,0.06079102,1.1435997,-0.0026304233,0.042641554,0.6579645872116089,109,13952,2621.919970996678,1339392
421.79,9.13,522,0.0012388107,0.054728188,1.1560519,-0.002326681,0.04845421,0.6549322009086609,110,14080,2645.432454355061,1351680
434.01,9.76,523,0.0011591628,0.054829914,1.1482049,-0.0029172827,0.04235016,0.7051577866077423,111,14208,2668.9223264195025,1363968
439.87,10.0,509,0.0018021951,0.09554036,1.136857,-0.0021367169,0.043755084,0.6696734428405762,112,14336,2693.0191364884377,1376256
446.73,10.28,522,0.0015248718,0.072753906,1.1369416,-0.0026206672,0.043343853,0.6768926084041595,113,14464,2716.5469974055886,1388544
450.98,10.58,526,0.0014321241,0.07513428,1.134711,-0.002217629,0.03973676,0.7145214080810547,114,14592,2739.8986675217748,1400832
459.76,11.02,527,0.0013554951,0.06524658,1.1418761,-0.0033255199,0.042740922,0.6476072669029236,115,14720,2763.198009815067,1413120
459.93,11.07,529,0.0012196181,0.054443363,1.1282934,-0.002764514,0.04595562,0.6369011700153351,116,14848,2786.3967949934304,1425408
472.51,11.78,524,0.0010608548,0.043904625,1.1082954,-0.0030464046,0.040543176,0.7157097160816193,117,14976,2809.811781447381,1437696
485.25,11.6,524,0.0014930877,0.078308105,1.1133378,-0.00253526,0.039843827,0.7014701664447784,118,15104,2833.229811884463,1449984
475.88,11.38,509,0.0010972817,0.047281902,1.1115385,-0.0031325412,0.04056373,0.668809711933136,119,15232,2857.328857857734,1462272
479.19,11.63,537,0.0012682653,0.063802086,1.1115469,-0.002905752,0.043116488,0.6643014550209045,120,15360,2880.192196082324,1474560
466.59,11.16,527,0.0012364762,0.056070965,1.1131498,-0.0020775627,0.046671223,0.6908568441867828,121,15488,2903.500335339457,1486848
464.53,11.15,503,0.001074397,0.049031574,1.1200769,-0.0024671273,0.03969479,0.6956898868083954,122,15616,2927.8860849142075,1499136
479.18,11.43,506,0.001427483,0.07548015,1.1085227,-0.0033221894,0.03370873,0.7282275259494781,123,15744,2952.1559215784073,1511424
481.02,11.55,544,0.001709367,0.08152262,1.1067619,-0.0016021297,0.03800437,0.669169157743454,124,15872,2974.7135740816593,1523712
479.35,11.26,531,0.0015977386,0.07814535,1.100687,-0.002236967,0.03826327,0.7015280425548553,125,16000,2997.827623270452,1536000
477.91,11.38,525,0.0017507304,0.089416504,1.0978696,-0.0007072848,0.05095214,0.7007090747356415,126,16128,3021.2031379900873,1548288
478.32,11.43,521,0.0012430813,0.057352703,1.1097176,-0.0024937901,0.04110394,0.6811073422431946,127,16256,3044.750718228519,1560576
484.89,11.87,521,0.0017148705,0.0838623,1.1087759,-0.0031127045,0.04065034,0.6623324155807495,128,16384,3068.31796534732,1572864
505.49,12.68,527,0.0013310064,0.056559246,1.1013036,-0.0036499077,0.040099736,0.7183070778846741,129,16512,3091.623917840421,1585152
512.44,12.85,537,0.0016726243,0.0855306,1.0957315,-0.0029911082,0.042537745,0.6754221320152283,130,16640,3114.5050742030144,1597440
516.41,13.27,537,0.0015869502,0.08133951,1.1012173,-0.001772112,0.040543724,0.7069379091262817,131,16768,3137.3825616277754,1609728
526.54,13.65,539,0.0013576959,0.06697591,1.0870916,-0.0032869843,0.040156852,0.7335047721862793,132,16896,3160.178794849664,1622016
519.93,13.56,537,0.0013030122,0.05712891,1.0864631,-0.003319295,0.039391816,0.7280791997909546,133,17024,3183.053964957595,1634304
528.3,13.39,520,0.0012547055,0.057861324,1.0944965,-0.0029839727,0.043640804,0.6876975893974304,134,17152,3206.6782052330673,1646592
523.71,13.23,532,0.0015071478,0.06996663,1.0861027,-0.0022098704,0.04362381,0.6910518109798431,135,17280,3229.738269776106,1658880
525.79,12.99,524,0.0014175735,0.068725586,1.0778153,-0.0032157481,0.043100983,0.6820734143257141,136,17408,3253.1647117845714,1671168
532.03,13.44,520,0.0014747204,0.07346598,1.0665226,-0.0024984437,0.04249161,0.7082759737968445,137,17536,3276.755512457341,1683456
515.03,13.09,523,0.0014129521,0.06931559,1.0572969,-0.0030917516,0.04251562,0.702190488576889,138,17664,3300.2275464460254,1695744
526.0,13.5,522,0.0017256133,0.08821614,1.0767174,-0.0026314063,0.042300195,0.68052539229393,139,17792,3323.7300925701857,1708032
526.71,13.88,539,0.0014213071,0.06951904,1.0811303,-0.002408651,0.04392684,0.666169136762619,140,17920,3346.505144931376,1720320
531.3,14.1,514,0.0013781325,0.062418617,1.0824085,-0.0028762291,0.042586703,0.7298822402954102,141,18048,3370.4096002951264,1732608
546.78,14.6,528,0.0011992024,0.056254067,1.0751979,-0.0035912103,0.03912527,0.7387417852878571,142,18176,3393.646122634411,1744896
562.85,15.02,527,0.0013567029,0.06327312,1.0766525,-0.0025375762,0.044641003,0.6738964021205902,143,18304,3416.938557561487,1757184
559.43,14.91,515,0.0014959697,0.07468669,1.0742298,-0.002548996,0.047694564,0.7081927955150604,144,18432,3440.7797993049026,1769472
567.15,15.15,534,0.001442635,0.07057698,1.067639,-0.0036116182,0.042368155,0.7192482352256775,145,18560,3463.7779543548822,1781760
562.08,14.95,532,0.0014546234,0.07092285,1.062347,-0.0033780239,0.04266075,0.7080972194671631,146,18688,3486.837231390178,1794048
563.43,15.14,529,0.0014710908,0.068908684,1.0634608,-0.0038846496,0.04161025,0.7154256701469421,147,18816,3510.055034145713,1806336
567.68,15.52,530,0.0015151734,0.07722982,1.0666925,-0.0024836403,0.04376468,0.6810107529163361,148,18944,3533.2288432978094,1818624
561.32,15.42,528,0.0018948603,0.0972697,1.0627351,-0.0016718663,0.042323876,0.6982063949108124,149,19072,3556.5000679790974,1830912
563.16,15.85,532,0.0014985971,0.07847087,1.057232,-0.0032956654,0.041070145,0.7269369959831238,150,19200,3579.5979220047593,1843200
558.81,15.71,532,0.0015770455,0.07647705,1.0545461,-0.0031133695,0.04573085,0.6990567445755005,151,19328,3602.6636230908334,1855488
558.42,15.7,544,0.0017088677,0.08557129,1.0520027,-0.0014835913,0.041130807,0.7221996188163757,152,19456,3625.2207175195217,1867776
551.17,15.7,525,0.001597328,0.08217367,1.0529944,-0.0026646806,0.040818535,0.7241508662700653,153,19584,3648.6205076500773,1880064
558.38,16.04,520,0.0018732473,0.09120686,1.0361844,-0.0035397974,0.04134455,0.7141064703464508,154,19712,3672.2141603790224,1892352
565.39,16.32,525,0.002119507,0.10791016,1.0427911,-0.0013417929,0.045048904,0.6970494091510773,155,19840,3695.5932521894574,1904640
572.53,16.52,519,0.0015292985,0.07045492,1.0361508,-0.0022630226,0.042193778,0.7173632979393005,156,19968,3719.226890284568,1916928
575.77,16.51,533,0.0014276587,0.06929524,1.0380436,-0.0032455807,0.047496017,0.6692616045475006,157,20096,3742.275696542114,1929216
591.26,17.04,525,0.0015586347,0.07838949,1.0476172,-0.0029185892,0.04820157,0.6603590250015259,158,20224,3765.6397929526865,1941504
583.47,16.85,531,0.0012268198,0.0610555,1.0471737,-0.0031586457,0.04502152,0.6882845163345337,159,20352,3788.741370283067,1953792
593.02,16.66,531,0.0012263642,0.057027183,1.0402174,-0.002346999,0.045881372,0.7204955816268921,160,20480,3811.8477842211723,1966080
604.06,17.01,509,0.0015783249,0.074361175,1.0386353,-0.003124518,0.047867365,0.7084244787693024,161,20608,3835.94339421764,1978368
596.31,16.71,533,0.0012914817,0.06555176,1.045972,-0.0033845725,0.051967736,0.6475183665752411,162,20736,3858.992349985987,1990656
596.26,16.69,535,0.0014154238,0.0674235,1.059205,-0.003526853,0.04998519,0.6802708804607391,163,20864,3881.9470559433103,2002944
595.75,16.7,526,0.001181557,0.05847168,1.0531162,-0.002708231,0.058555312,0.697958767414093,164,20992,3905.2888099327683,2015232
585.04,16.57,528,0.0010068325,0.0427653,1.0482583,-0.0027232857,0.06583834,0.6760962903499603,165,21120,3928.547666877508,2027520
589.35,16.7,513,0.0015795253,0.07232666,1.032675,-0.0022633465,0.06463458,0.6655096411705017,166,21248,3952.478569779545,2039808
588.95,16.93,529,0.0015278239,0.075520836,1.0379496,-0.0016616426,0.064857446,0.686799019575119,167,21376,3975.6877894960344,2052096
595.25,16.86,524,0.001045511,0.046529137,1.036769,-0.0032914458,0.057909604,0.6429484188556671,168,21504,3999.13563708961,2064384
599.12,17.13,517,0.0014414841,0.07110596,1.0350933,-0.0015728434,0.056454673,0.6643325984477997,169,21632,4022.8746879696846,2076672
606.92,16.9,531,0.0011301654,0.051289875,1.0277458,-0.0027440423,0.058171727,0.6545143723487854,170,21760,4045.9799593128264,2088960
606.23,17.11,515,0.00119916,0.058003746,1.02471,-0.003277749,0.050018445,0.6753490269184113,171,21888,4069.821360412985,2101248
606.7,17.21,524,0.0015331033,0.07356771,1.0262711,-0.0037220155,0.05298131,0.6491515934467316,172,22016,4093.250438146293,2113536
611.05,17.3,529,0.0013631927,0.06577555,1.0174667,-0.0034831886,0.04711606,0.7352666258811951,173,22144,4116.460564378649,2125824
610.85,17.06,505,0.0013898914,0.06262207,1.0212944,-0.0032019506,0.042129733,0.7173528373241425,174,22272,4140.75843738392,2138112
610.54,17.68,507,0.001434615,0.07065836,1.0187747,-0.0033569336,0.042959284,0.7331313490867615,175,22400,4164.963157191873,2150400
617.94,17.62,535,0.0017743418,0.08567301,1.0211749,-0.0026952282,0.042601738,0.7449266910552979,176,22528,4187.921881277114,2162688
616.6,17.94,533,0.0016391845,0.08129882,1.0322512,-0.0034109442,0.047389627,0.6616683006286621,177,22656,4210.955907464027,2174976
620.81,18.17,534,0.0013275469,0.058797203,1.0238218,-0.003439642,0.04579238,0.6844663619995117,178,22784,4233.956601601094,2187264
631.68,19.19,540,0.0014198474,0.07004802,1.0193282,-0.0027501509,0.050381236,0.6549460291862488,179,22912,4256.691098593175,2199552
637.69,19.41,540,0.0015002517,0.07385255,1.0028911,-0.003976341,0.0482711,0.7184258699417114,180,23040,4279.442775230855,2211840
634.65,19.22,516,0.0013090854,0.06186931,1.001198,-0.0026925816,0.047941756,0.6939645707607269,181,23168,4303.217028539628,2224128
644.17,19.74,527,0.0014259479,0.07242839,1.0010707,-0.004030836,0.047989298,0.6823513507843018,182,23296,4326.52272053808,2236416
640.07,20.11,516,0.0013695642,0.06677246,0.9940716,-0.0040217265,0.04606374,0.6773603558540344,183,23424,4350.3126238919795,2248704
638.25,19.43,510,0.0015489687,0.07470703,0.9989157,-0.0028496406,0.04314802,0.729338675737381,184,23552,4374.375288549811,2260992
639.17,19.29,505,0.0012139314,0.056803383,0.9924009,-0.0026382164,0.04345837,0.7155174911022186,185,23680,4398.698024529964,2273280
640.84,19.38,532,0.0013527259,0.06402588,1.0013947,-0.0028699564,0.046066467,0.6958951354026794,186,23808,4421.764648489654,2285568
643.62,19.35,523,0.0013120113,0.06207275,1.0135901,-0.0028106165,0.045962993,0.6836928129196167,187,23936,4445.257596768439,2297856
652.86,19.52,527,0.0014848048,0.07043457,1.0020571,-0.0024533859,0.048826884,0.6846093833446503,188,24064,4468.572443265468,2310144
648.42,19.79,520,0.0011736753,0.05641683,1.0053623,-0.0035974802,0.047519326,0.66342493891716,189,24192,4492.175543747842,2322432
650.1,20.03,530,0.00153536,0.079691574,1.0102634,-0.0032282171,0.045591693,0.6742769181728363,190,24320,4515.333799794316,2334720
653.18,20.28,528,0.0016007752,0.082865395,1.0023098,-0.002835996,0.04669489,0.6571732759475708,191,24448,4538.570713147521,2347008
649.67,19.85,536,0.0011917063,0.05834961,0.9961604,-0.002866213,0.045044977,0.6934577524662018,192,24576,4561.483498744667,2359296
653.49,19.95,529,0.0016612646,0.07566325,0.9924911,-0.0036660747,0.045824707,0.6737602651119232,193,24704,4584.680614978075,2371584
673.57,20.71,516,0.0016554546,0.079711914,0.99341035,-0.002597872,0.045526814,0.6660343408584595,194,24832,4608.449620198458,2383872
668.15,20.5,526,0.0026410979,0.1272583,1.0036379,-0.0010434525,0.04782048,0.6377973854541779,195,24960,4631.802704527974,2396160
653.8,19.76,538,0.0014106983,0.063435875,0.9976003,-0.0037025362,0.047100935,0.6734638214111328,196,25088,4654.63946865499,2408448
669.45,20.29,513,0.0015399716,0.07021078,0.98814577,-0.0032054854,0.048786458,0.6649586260318756,197,25216,4678.5706877969205,2420736
676.14,19.82,529,0.001359391,0.06286621,0.9925438,-0.0031059964,0.05318588,0.6553108096122742,198,25344,4701.792213778943,2433024
679.47,19.77,515,0.001717327,0.080810554,0.9823803,-0.0033609888,0.05033311,0.6706825792789459,199,25472,4725.628253832459,2445312
